Year,Boat Name,Model,link
2020,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2020,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2021,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2021,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2021,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2022,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2022,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2022,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2023,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2023,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2023,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2024,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2024,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2024,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2025,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2025,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2025,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2026,Atx Surf Boats,20 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2026,Atx Surf Boats,22 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2026,Atx Surf Boats,24 TYPE-S,https://shorelinebrands.com/products/2017-2025-tige-bimini-shade-extension-kit?variant=45504205193401
2009,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2010,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2011,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2011,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2012,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2012,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2013,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2013,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2014,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2014,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2014,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2014,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2015,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2015,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2015,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2015,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2015,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2016,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2016,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2016,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2016,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2016,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2017,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2017,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2017,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2017,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2017,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2018,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2018,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2018,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2018,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2018,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2019,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2019,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2019,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2019,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2019,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2020,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2020,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2020,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2020,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2020,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2021,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2021,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2021,Axis Wake Research,T22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2021,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2021,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,A22,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,T220,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,T23,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2022,Axis Wake Research,T250,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,A225 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2023,Axis Wake Research,A225,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,T220 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2023,Axis Wake Research,T220,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,T235 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2023,Axis Wake Research,T235,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,A24 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2023,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2023,Axis Wake Research,T250 (With XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2023,Axis Wake Research,T250,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,A225 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2024,Axis Wake Research,A225,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,T220 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2024,Axis Wake Research,T220,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,T235 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2024,Axis Wake Research,T235,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,A24 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2024,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2024,Axis Wake Research,T250 (With XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2024,Axis Wake Research,T250,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,A225 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2025,Axis Wake Research,A225,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,T220 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2025,Axis Wake Research,T220,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,T235 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2025,Axis Wake Research,T235,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,A24 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2025,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,T250 (With XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2025,Axis Wake Research,T250,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,A245,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2025,Axis Wake Research,A245 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,A20,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,A225 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,A225,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,T220 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,T220,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,T235 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,T235,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,A24 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,A24,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,T250 (With XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2026,Axis Wake Research,T250,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,A245,https://shorelinebrands.com/products/axis-wake-boat-bimini-shade-extension-kit?variant=45345971142841
2026,Axis Wake Research,A245 (w/ XL Bimini),https://shorelinebrands.com/products/2015-2025-malibu-boats-bimini-mounted-shade-extension?variant=45345971372217
2000,Centurion Boats,FALCON SPORT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2000,Centurion Boats,SPORT BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2000,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2000,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2000,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,FALCON SPORT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,SPORT BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2001,Centurion Boats,CONCOURSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,FALCON SPORT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,SPORT BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,CYCLONE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,LAPOINT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,AVALANCHE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,ESCALADE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,HURRICANE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,TORNADO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,CONCOURSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,TYPHOON-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,TSUNAMI,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2002,Centurion Boats,TSUNAMI-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,SPORT BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,CYCLONE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,LAPOINT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,AVALANCHE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,ESCALADE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,HURRICANE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,TORNADO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,CONCOURSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,TYPHOON-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2003,Centurion Boats,TSUNAMI,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,SPORT BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,T-5 COMP,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,T-5,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,CYCLONE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,LAPOINT,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,AVALANCHE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ESCALADE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,LIGHTNING-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,TORNADO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,CONCOURSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ENZO SV 230,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,ENZO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2004,Centurion Boats,TYPHOON-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,THUNDER-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,CYCLONE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ECLIPSE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,T-5 COMP,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,T-5,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,AVALANCHE-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,AVLNCH-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ELITE BOWRIDER,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ELITE C4,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ELITE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ESCALADE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,LIGHTNING-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,TORNADO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ENZO SV 230,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2005,Centurion Boats,ENZO-STORM,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,CYCLONE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,T-5 AIR WARRIOR,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,T-5 COMP,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,AVALANCHE C4,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,AVALANCHE,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
2006,Centurion Boats,ELITE AIR WARRIOR C4,https://shorelinebrands.com/products/wake-tower-mounted-universal-bimini-extension?variant=45504199000249
